date-1,time-1,open-1,high-1,low-1,close-1,volume-1,time-2,open-2,high-2,low-2,close-2,volume-2,time-3,open-3,high-3,low-3,close-3,volume-3,time-4,open-4,high-4,low-4,close-4,volume-4,time-5,open-5,high-5,low-5,close-5,volume-5,time-6,open-6,high-6,low-6,close-6,volume-6,time-7,open-7,high-7,low-7,close-7,volume-7,time-8,open-8,high-8,low-8,close-8,volume-8,time-9,open-9,high-9,low-9,close-9,volume-9,time-10,open-10,high-10,low-10,close-10,volume-10,time-11,open-11,high-11,low-11,close-11,volume-11,time-12,open-12,high-12,low-12,close-12,volume-12,outcome,b_outcome
11/22/2021,9:00,2.75,-2.5,1.0,-0.5,-9008,9:15,-0.25,9.25,2.5,10.0,49223,9:30,10.25,10.5,7,9.5,-8168,9:45,9.25,6.25,13,6.25,-9421,10:00,6,1.0,4,-1.0,-13603,10:15,-0.75,-0.75,0.75,-0.25,-12416,10:30,-0.25,-2.75,-5.0,-4,7415,10:45,-4,-3,-5.0,-4,7614,11:00,-4.25,-4.25,-1.5,-2.25,-12243,11:15,-2.0,0.0,-2.25,-3.5,3991,11:30,-3.5,-4.75,-25.5,-17.5,43746,11:45,-17.25,-13.5,4.0,0.75,-11868,-23.25,S
11/19/2021,9:00,2.75,6.5,5.75,4.0,15827,9:15,4.25,-2.0,-3.75,0.75,37477,9:30,0.75,4.5,4.75,4.75,-21672,9:45,4.75,0.0,-1.75,-6.0,979,10:00,-6.0,-5.5,-2.0,-7.25,-10380,10:15,-7.25,1.5,-0.25,8.75,-6980,10:30,8.5,-0.5,2.75,-3.5,1120,10:45,-3.25,2.0,2.5,4.75,-10344,11:00,4.75,2.0,5.0,2.75,-863,11:15,2.75,0.5,0.5,-0.25,-1602,11:30,0.0,0.0,-0.5,-1.0,-3395,11:45,-1.5,2.75,1.5,4.75,2063,-14.25,S
11/18/2021,9:00,2.75,0.0,-0.75,-2.75,1138,9:15,-2.5,-1.75,-6.75,-5.75,43001,9:30,-6.0,-1.5,-2.0,-1.5,-1173,9:45,-1.5,-4.75,-14.75,-13.75,11120,10:00,-14.0,-13.75,-4.75,-3,6228,10:15,-2.75,3.75,4.25,3.5,-22992,10:30,3.5,-0.5,3.25,3.0,-10712,10:45,3.0,3.5,0.25,4.25,2809,11:00,4.0,1.5,7.75,0.75,-12272,11:15,0.75,10.0,0.75,10.5,16012,11:30,10.75,1.0,10.0,-0.5,-17212,11:45,-0.25,4.0,0.5,6.5,2311,-2,S
11/17/2021,9:00,1.0,2,1.5,1.75,731,9:15,1.75,0.5,-7,-5.5,44390,9:30,-5.75,-4.25,-6.5,-8.75,1806,9:45,-8.75,-3.75,0.0,7.0,-10296,10:00,6.75,0.25,3.0,-2.75,-11665,10:15,-2.25,5.25,1.5,5.75,6186,10:30,5.75,-0.5,1.5,-0.75,-11711,10:45,-1.0,-1.25,2.5,0.25,-7188,11:00,0.0,0.0,-1.75,-1,501,11:15,-1.0,1.0,1.25,1.75,-2417,11:30,2.0,4.25,2.25,4.5,4620,11:45,4.75,0.25,-0.75,-6.0,2424,-4,S
11/16/2021,9:00,-4.25,-1.75,-1.0,1.25,2072,9:15,1.75,14.25,2.0,14.25,50761,9:30,14.0,3.5,12.25,-0.75,-12875,9:45,-0.5,-0.25,2.0,3.75,-16444,10:00,3.75,1.25,-4.25,-7.25,4727,10:15,-7.5,-5.0,-0.25,2,-8136,10:30,2,-1.75,0.25,0.75,-8932,10:45,0.75,9,3.25,8.5,8326,11:00,8.5,6,8.5,5.0,6458,11:15,5.25,0.5,3.0,-1.75,-12992,11:30,-2.0,-2.0,-1.0,1.25,-5469,11:45,1.25,0.5,0.75,-0.25,-2904,-4,S
11/15/2021,9:00,-0.5,-1.25,-2.5,-1.75,1864,9:15,-1.75,-1.25,-5.25,-5.0,46927,9:30,-5.0,-2.25,-4.5,3.75,-1282,9:45,3.75,0.0,0.75,-8.0,-6544,10:00,-7.75,-6.25,-1.75,0.0,-9090,10:15,-0.5,-0.25,-0.5,-0.25,-4102,10:30,-0.25,1.25,1.75,0.25,-7435,10:45,0.5,-0.25,0.5,2.0,-3290,11:00,2.25,0.5,-0.5,-2.75,-1601,11:15,-3.0,-0.75,-12.5,-11.75,20535,11:30,-12.0,-10.75,-1.75,4.0,5684,11:45,4.0,1.25,5,-0.25,-26010,8.25,L
11/23/2021,9:00,1.0,-0.25,-2.5,-3.25,1189,9:15,-3.25,4.25,-8.5,4.75,80759,9:30,5.0,11.25,14.5,9.25,-28363,9:45,8.75,-3.75,-11.5,-16.75,28822,10:00,-16.5,-12.5,-6.0,-8.25,-14523,10:15,-8.25,-7.5,-2.25,-3.75,-9704,10:30,-3.75,-3.25,-6.75,-6.5,-8095,10:45,-6.25,-2.0,-5.75,9.25,18819,11:00,9.0,8.25,15,6.25,-29859,11:15,6.25,0.5,-1.25,-6.5,20617,11:30,-6.25,0.0,-0.5,2.75,-9013,11:45,2.5,-6.5,-5.75,-10.25,-10968,28.75,L
11/24/2021,9:00,-0.25,0.75,2.25,1.25,-3385,9:15,1.0,3.75,-4.75,-4.25,73557,9:30,-4.25,-3.75,-1.5,6.25,-24926,9:45,6.25,10.0,4.5,2.75,-5916,10:00,3.0,1.75,6.75,8.0,-4719,10:15,8.25,1.5,6.25,-3.5,-7571,10:30,-3.75,0.25,-2.25,4.25,-1763,10:45,4.25,3.25,2.5,5.25,-5886,11:00,5.5,5.0,9,5.0,-8074,11:15,4.5,2.25,0,-2.25,1828,11:30,-2.0,-1.75,1,-1.25,-5900,11:45,-1.5,-0.75,-0.75,3.0,-1693,10.75,L
11/26/2021,9:00,3.75,-0.5,4.5,3.5,1468,9:15,4.25,14.25,-1.0,-5.25,73145,9:30,-5.75,-20.75,-11.5,-3.75,-4798,9:45,-3.75,-3.5,-8.75,-15.25,-8514,10:00,-15.5,-4.75,-7.5,10.5,-8610,10:15,10.75,3.5,12.75,-3,-20816,10:30,-2.75,-5.0,-5.75,-5,-2789,10:45,-5.25,-6.5,-6.75,-10.75,4031,11:00,-11,-9.5,-9.25,-2.0,-4609,11:15,-1.75,4.25,3.5,4.5,1716,11:30,4.5,-0.75,-1.5,-5.0,-9382,11:45,-5.0,6.75,2.5,7.25,1274,-21,S
11/29/2021,9:00,1,-1.75,-1.0,-0.25,-2539,9:15,0,2.25,-7.75,-7.0,63478,9:30,-7.25,-9.5,-6.25,1.25,4193,9:45,1.25,2.0,3.5,-3,-14204,10:00,-3,-1.75,-2.5,-6.25,-11620,10:15,-6,-5.75,-8.5,-3.25,10294,10:30,-3.75,-4.5,1.0,3.25,-19501,10:45,3.75,6.75,4.25,5.25,-8348,11:00,5.25,2.0,6.5,-0.5,-3478,11:15,-0.75,8.0,1.25,12.5,9319,11:30,12.5,2.25,9.5,2,-17196,11:45,1.75,6.25,4.75,4.5,2658,-10,S
11/30/2021,9:00,-3.25,1.0,0.75,1.75,-2850,9:15,1.75,3.75,-5.0,0.25,66099,9:30,0.25,1.75,0.75,4,-16776,9:45,4,9,10.75,6,4310,10:00,5.75,-4.5,-0.5,-2,-13932,10:15,-1.75,5.75,-2.25,-3.75,31830,10:30,-3.5,-15.0,-39.5,-44.5,26311,10:45,-44.5,-31.5,-8.75,13.0,-11328,11:00,12.75,5.0,11.0,-6.75,-35899,11:15,-6.75,-7.5,-10.75,-12.5,-257,11:30,-12.5,-15.5,-9.25,-1.0,6969,11:45,-1.0,-3.25,-4.0,-9.0,-12248,-5.5,S
12/1/2021,9:00,0.5,-0.5,-2.5,-2.0,1420,9:15,-2.0,-1.75,-12.5,-5.75,49469,9:30,-5.5,-2.25,4.25,3.75,-13399,9:45,3.75,13.25,8.0,11.5,7415,10:00,11.5,1.75,7.75,-3.5,-8746,10:15,-3.25,-2.75,-10.0,1.5,5539,10:30,1.25,6.75,11.25,10.5,-9306,10:45,10.5,8.0,8.0,8.25,-4858,11:00,8.5,3.25,9.25,-0.25,-8292,11:15,-0.5,-1.5,-3.25,-4.25,5890,11:30,-4.0,-6.0,-15.25,-11.5,14403,11:45,-11.75,-5.5,1.75,6.25,-13363,-75.75,S
12/2/2021,9:00,-5,-7.25,2.25,-1.75,-5157,9:15,-1.75,31.75,-1.75,32.5,67822,9:30,32.5,16.25,31.75,19.25,2926,9:45,19.0,5.25,6.0,-13,4085,10:00,-12.5,-11.0,-4.5,4,-16960,10:15,4.0,2.0,-14.25,-27.75,-2100,10:30,-27.75,-5.5,-2.25,27.25,-12666,10:45,27.0,11.25,22.5,7.5,-7746,11:00,7.25,7.5,14.25,6.5,-2823,11:15,6.75,-2.75,-12.75,-12.25,9905,11:30,-12.25,4.75,3.0,16.0,-15982,11:45,16.0,8,16.5,11.75,1696,-14,S
12/3/2021,9:00,3,-2.25,2,-1,-2256,9:15,-1,9.5,-14.5,-15.25,75314,9:30,-15,-20.75,-22.25,-22.5,-12869,9:45,-22.75,-21.25,-15.5,-14.5,6140,10:00,-14.25,-2.25,4.0,16.5,-12739,10:15,16,-3.25,-16.25,-32.25,6620,10:30,-32.25,-25.75,-7.0,-4,-1825,10:45,-3.75,-2.25,-5.25,2.75,-8198,11:00,2.5,5.5,-0.25,8.75,-8164,11:15,9.0,2.25,2.75,-16.0,-2435,11:30,-16.25,-13.0,-9.75,-10.25,-133,11:45,-10.25,-10.75,-3,3.5,-10092,17.25,L
12/6/2021,9:00,4.0,3.75,2.25,2.75,1614,9:15,3.25,2.25,6.5,3.0,2036,9:30,2.75,5.5,-21.75,-2.0,111511,9:45,-2.0,-3.5,13.0,3.0,-14644,10:00,3.0,14.75,-1.0,14.75,-486,10:15,15.0,4.5,27.25,4.0,-39769,10:30,4.0,1.0,-6.0,-11.0,-3794,10:45,-11.25,0.0,-0.75,13.25,-9201,11:00,13.0,1.0,0.0,-14.75,-3575,11:15,-14.75,-6.75,-3.0,6.5,-3395,11:30,6.75,4.5,4.0,7.25,-7689,11:45,7.25,-0.25,0.75,-8.5,-6838,2.25,L
