date-1,time-1,open-1,high-1,low-1,close-1,volume-1,time-2,open-2,high-2,low-2,close-2,volume-2,time-3,open-3,high-3,low-3,close-3,volume-3,time-4,open-4,high-4,low-4,close-4,volume-4,time-5,open-5,high-5,low-5,close-5,volume-5,outcome,b_outcome
11/5/2021,9:00,4693.75,4694.75,4693,4693.5,654,9:30,4697.75,4699.5,4695.5,4696.25,6314,10:00,4708,4708.5,4706.5,4708.25,4403,10:30,4705,4706.25,4704.75,4705.5,1566,11:00,4706.5,4707.25,4705.25,4706,1039,-18.5,S
11/4/2021,9:00,4658.25,4658.5,4658.25,4658.25,93,9:30,4658.25,4658.75,4657.25,4658,914,10:00,4668.75,4669.5,4668,4668.25,1321,10:30,4671,4671.25,4670,4672.5,839,11:00,4669.75,4670,4669.25,4669.75,1029,2.75,L
11/3/2021,9:00,4617.25,4617.5,4617,4617.25,98,9:30,4618,4618.5,4617.5,4617.75,572,10:00,4620,4621.75,4618.25,4621.75,1309,10:30,4617,4617.75,4616.75,4617.25,688,11:00,4619.5,4620,4619.25,4619.5,896,33,L
11/2/2021,9:00,4608,4608.5,4607.75,4608,227,9:30,4607.25,4607.75,4606.75,4606.75,408,10:00,4616.25,4618,4616.25,4617,2797,10:30,4615.75,4617.25,4615.75,4617,866,11:00,4621.25,4622.25,4620,4620.5,2378,3.25,L
11/1/2021,9:00,4609.25,4609.25,4609,4609,93,9:30,4608.25,4608.75,4607.75,4608,478,10:00,4597.5,4598.25,4596.75,4598,893,10:30,4595.75,4595.75,4594.5,4595.5,1025,11:00,4589.75,4593,4590,4592.75,1474,16.25,L
10/29/2021,9:00,4563,4563.25,4562.5,4562.5,248,9:30,4565,4565,4562.5,4563.75,1555,10:00,4577.5,4578,4575.25,4576.5,1989,10:30,4571.75,4573,4571.5,4572.5,1933,11:00,4579.25,4579.25,4578,4578.25,999,18.25,L
10/28/2021,9:00,4557.25,4558.75,4557,4558.5,649,9:30,4559.5,4560,4559,4559.5,827,10:00,4573,4574.5,4572.25,4572.25,1488,10:30,4575.5,4576.25,4575,4575.5,1764,11:00,4579.75,4580,4579.25,4579.5,907,9.5,L
10/27/2021,9:00,4568.25,4569.5,4568,4568.75,457,9:30,4568.75,4569.5,4568.5,4569,410,10:00,4573,4575.5,4572.5,4575,2818,10:30,4562.75,4564.25,4561.75,4563.75,2740,11:00,4561.5,4562.75,4561.25,4562.5,1697,-17.5,S
10/26/2021,9:00,4575.75,4576.5,4575.75,4576.5,166,9:30,4576.5,4577,4576.25,4576.75,676,10:00,4579.75,4579.75,4578.25,4579.25,553,10:30,4587.25,4588.5,4587,4587.25,1650,11:00,4588.5,4588.5,4586,4588.5,2281,-21,S
10/25/2021,9:00,4542.75,4543.25,4542.25,4542.75,300,9:30,4547.5,4548.25,4547.25,4547.75,840,10:00,4542.25,4542.75,4540.75,4541.25,896,10:30,4542,4544.25,4541.5,4544.25,1396,11:00,4547,4547.25,4546.25,4546.75,1200,13.75,L
