Date,Open,High,Low,Close,Adj_Close,Volume
Oct 07 2021,	4355.25,	4421.50,	4354.50,	4407.00,	4407.00,	597836
Oct 06 2021,	4334.25,	4357.50,	4273.75,	4354.00,	4354.00,	933723
Oct 05 2021,	4296.50,	4359.75,	4269.00,	4334.00,	4334.00,	933723
Oct 04 2021,	4348.75,	4362.00,	4267.75,	4291.25,	4291.25,	1333943
Oct 01 2021,	4301.75,	4365.75,	4260.00,	4343.75,	4343.75,	1334932
Sep 30 2021,	4358.25,	4388.50,	4294.25,	4297.75,	4297.75,	1228951
Sep 29 2021,	4347.75,	4378.75,	4344.25,	4349.75,	4349.75,	1089102
Sep 28 2021,	4429.50,	4442.00,	4334.50,	4343.50,	4343.50,	1332967
Sep 27 2021,	4446.25,	4472.00,	4425.00,	4433.00,	4433.00,	679707
Sep 24 2021,	4439.25,	4453.00,	4410.50,	4445.75,	4445.75,	680375
Sep 23 2021,	4385.75,	4455.00,	4385.25,	4438.00,	4438.00,	726540
Sep 22 2021,	4337.25,	4406.25,	4321.00,	4384.00,	4384.00,	966992
Sep 21 2021,	4342.75,	4395.50,	4329.00,	4343.25,	4343.25,	1188465
Sep 20 2021,	4411.50,	4421.75,	4294.00,	4421.75,	4421.75,	1230989
Sep 17 2021,	4471.75,	4482.25,	4459.00,	4464.33,	4464.33,	946289
Sep 16 2021,	4484.75,	4487.75,	4443.00,	4474.25,	4474.25,	83475
Sep 15 2021,	4447.00,	4487.50,	4437.50,	4481.75,	4481.75,	124317
Sep 14 2021,	4475.75,	4489.00,	4435.25,	4444.50,	4444.50,	138861
Sep 13 2021,	4461.25,	4492.75,	4444.25,	4469.00,	4469.00,	238911
Sep 10 2021,	4490.75,	4518.25,	4456.50,	4458.25,	4458.25,	318006
Sep 09 2021,	4511.25,	4529.00,	4485.50,	4492.25,	4492.25,	794664
Sep 08 2021,	4517.75,	4524.75,	4492.00,	4512.50,	4512.50,	804048
Sep 07 2021,	4533.25,	4548.00,	4510.75,	4519.25,	4519.25,	763253
Sep 03 2021,	4536.50,	4550.00,	4519.25,	4534.50,	4534.50,	655159
Sep 02 2021,	4522.50,	4544.00,	4516.00,	4535.25,	4535.25,	588129
Sep 01 2021,	4527.50,	4540.00,	4519.25,	4521.25,	4521.25,	580462
Aug 31 2021,	4529.50,	4542.25,	4512.75,	4520.50,	4520.50,	775486
Aug 30 2021,	4508.50,	4534.50,	4500.75,	4525.25,	4525.25,	509281
Aug 27 2021,	4469.75,	4510.00,	4462.00,	4505.50,	4505.50,	540107
Aug 26 2021,	4493.25,	4494.50,	4465.00,	4466.50,	4466.50,	784883
Aug 25 2021,	4483.75,	4498.00,	4476.25,	4493.00,	4493.00,	400720
Aug 24 2021,	4481.00,	4492.00,	4476.75,	4482.50,	4482.50,	428828
Aug 23 2021,	4435.25,	4485.75,	4433.50,	4475.50,	4475.50,	496055
Aug 20 2021,	4403.50,	4440.50,	4371.75,	4437.00,	4437.00,	814722
Aug 19 2021,	4389.25,	4414.75,	4347.50,	4401.50,	4401.50,	1248532
Aug 18 2021,	4437.00,	4449.75,	4381.75,	4394.50,	4394.50,	936206
Aug 17 2021,	4471.00,	4472.25,	4412.00,	4443.50,	4443.50,	1042708
Aug 16 2021,	4456.25,	4476.50,	4432.50,	4474.00,	4474.00,	658401
Aug 13 2021,	4456.00,	4463.25,	4451.00,	4462.50,	4462.50,	352574
Aug 12 2021,	4440.50,	4456.25,	4430.25,	4454.50,	4454.50,	365690
Aug 11 2021,	4429.00,	4443.50,	4420.50,	4440.50,	4440.50,	448269
Aug 10 2021,	4427.00,	4438.25,	4416.75,	4430.00,	4430.00,	434681
Aug 09 2021,	4428.25,	4432.00,	4412.25,	4425.75,	4425.75,	421819
Aug 06 2021,	4420.50,	4433.25,	4416.00,	4429.50,	4429.50,	463755
Aug 05 2021,	4396.75,	4422.50,	4393.75,	4421.50,	4421.50,	392989
Aug 04 2021,	4409.00,	4415.25,	4391.25,	4394.75,	4394.75,	555035
Aug 03 2021,	4384.25,	4417.00,	4365.25,	4415.00,	4415.00,	756469
Aug 02 2021,	4395.50,	4419.75,	4377.25,	4379.75,	4379.75,	693668
Jul 30 2021,	4394.75,	4405.00,	4370.50,	4389.50,	4389.50,	747455
Jul 29 2021,	4393.25,	4422.75,	4380.25,	4411.75,	4411.75,	544719
Jul 28 2021,	4379.75,	4407.75,	4375.75,	4393.75,	4393.75,	697343
Jul 27 2021,	4415.75,	4416.00,	4364.50,	4394.50,	4394.50,	934515
Jul 26 2021,	4400.25,	4416.75,	4375.50,	4414.25,	4414.25,	507978
Jul 23 2021,	4371.00,	4407.75,	4367.50,	4403.00,	4403.00,	474398
Jul 22 2021,	4355.25,	4371.50,	4341.50,	4359.50,	4359.50,	500563
Jul 21 2021,	4319.00,	4355.25,	4309.75,	4350.50,	4350.50,	578208
Jul 20 2021,	4263.00,	4328.75,	4252.75,	4315.50,	4315.50,	900448
Jul 19 2021,	4320.25,	4322.25,	4224.00,	4251.25,	4251.25,	1324064
Jul 16 2021,	4348.00,	4368.00,	4314.25,	4318.50,	4318.50,	755256
Jul 15 2021,	4367.00,	4370.25,	4332.25,	4352.00,	4352.00,	772186
Jul 14 2021,	4359.75,	4384.50,	4349.75,	4367.75,	4367.75,	691858
Jul 13 2021,	4376.75,	4383.75,	4356.50,	4361.25,	4361.25,	660164
Jul 12 2021,	4362.25,	4378.75,	4341.75,	4376.50,	4376.50,	497451
Jul 09 2021,	4310.75,	4363.50,	4293.00,	4360.00,	4360.00,	579934
Jul 08 2021,	4352.75,	4353.00,	4279.25,	4313.00,	4313.00,	1139550
Jul 07 2021,	4328.75,	4353.00,	4320.25,	4349.75,	4349.75,	683795
Jul 06 2021,	4340.25,	4348.25,	4305.50,	4334.00,	4334.00,	735486
Jul 02 2021,	4310.00,	4347.00,	4308.25,	4342.75,	4342.75,	446891
Jul 01 2021,	4293.75,	4312.00,	4286.00,	4310.75,	4310.75,	498634
Jun 30 2021,	4284.50,	4294.00,	4269.25,	4288.50,	4288.50,	535229
Jun 29 2021,	4281.25,	4291.00,	4271.50,	4282.00,	4282.00,	448502
Jun 28 2021,	4275.00,	4282.00,	4264.25,	4280.50,	4280.50,	439455
Jun 25 2021,	4262.25,	4276.75,	4253.50,	4271.25,	4271.25,	388417
Jun 24 2021,	4233.75,	4263.25,	4232.00,	4256.00,	4256.00,	412380
Jun 23 2021,	4237.75,	4248.25,	4230.50,	4231.50,	4231.50,	431530
Jun 22 2021,	4219.00,	4245.25,	4205.75,	4236.25,	4236.25,	524090
Jun 21 2021,	4142.50,	4219.75,	4126.50,	4213.75,	4213.75,	724705
Jun 18 2021,	4222.75,	4231.50,	4183.75,	4187.25,	4187.25,	983593
Jun 17 2021,	4214.25,	4232.50,	4192.75,	4222.25,	4222.25,	74669
Jun 16 2021,	4248.00,	4251.25,	4200.75,	4223.00,	4223.00,	69818
Jun 15 2021,	4255.25,	4267.50,	4238.00,	4246.50,	4246.50,	61522
Jun 14 2021,	4246.50,	4257.50,	4233.50,	4254.75,	4254.75,	82896
Jun 11 2021,	4240.00,	4247.75,	4230.75,	4245.75,	4245.75,	147389
Jun 10 2021,	4222.25,	4249.00,	4207.00,	4238.00,	4238.00,	737328
Jun 09 2021,	4225.75,	4235.50,	4217.00,	4218.50,	4218.50,	561993
Jun 08 2021,	4227.50,	4236.75,	4206.00,	4225.75,	4225.75,	752116
Jun 07 2021,	4232.00,	4234.50,	4214.00,	4225.50,	4225.50,	598200
Jun 04 2021,	4191.00,	4232.00,	4177.00,	4228.25,	4228.25,	571086
Jun 03 2021,	4207.50,	4213.50,	4165.00,	4191.25,	4191.25,	872101
Jun 02 2021,	4198.25,	4215.00,	4190.75,	4206.25,	4206.25,	660607
Jun 01 2021,	4206.50,	4230.00,	4189.75,	4198.50,	4198.50,	807350
May 28 2021,	4211.50,	4217.75,	4201.00,	4202.50,	4202.50,	525234
May 27 2021,	4193.25,	4211.50,	4177.75,	4199.00,	4199.00,	631352
May 26 2021,	4188.25,	4204.50,	4180.50,	4193.00,	4193.00,	613012
May 25 2021,	4199.50,	4212.75,	4179.25,	4185.50,	4185.50,	750389
May 24 2021,	4151.25,	4206.25,	4142.50,	4193.75,	4193.75,	565613
May 21 2021,	4152.75,	4185.00,	4147.00,	4151.75,	4151.75,	905340
May 20 2021,	4108.00,	4169.00,	4084.50,	4154.25,	4154.25,	866585
May 19 2021,	4114.25,	4123.00,	4055.75,	4111.50,	4111.50,	1331299
May 18 2021,	4159.50,	4179.50,	4111.75,	4123.00,	4123.00,	754371
May 17 2021,	4169.25,	4178.75,	4136.50,	4157.75,	4157.75,	840517
May 14 2021,	4112.25,	4178.25,	4104.75,	4169.00,	4169.00,	741723
May 13 2021,	4053.75,	4126.75,	4029.25,	4107.00,	4107.00,	1390197
May 12 2021,	4140.25,	4150.25,	4051.00,	4058.75,	4058.75,	1630334
May 11 2021,	4177.00,	4185.50,	4103.75,	4146.25,	4146.25,	1592809
May 10 2021,	4226.50,	4238.00,	4172.00,	4183.50,	4183.50,	929364
May 07 2021,	4196.50,	4232.25,	4191.75,	4225.25,	4225.25,	788472
May 06 2021,	4159.00,	4197.00,	4140.50,	4194.25,	4194.25,	1088435
May 05 2021,	4158.50,	4180.00,	4153.00,	4160.00,	4160.00,	797762
May 04 2021,	4184.00,	4185.75,	4120.50,	4158.25,	4158.25,	1198349
May 03 2021,	4181.25,	4202.50,	4181.00,	4185.75,	4185.75,	656266
Apr 30 2021,	4200.50,	4201.25,	4167.25,	4174.50,	4174.50,	945134
Apr 29 2021,	4185.00,	4210.75,	4168.00,	4203.50,	4203.50,	959965
Apr 28 2021,	4180.50,	4194.00,	4170.25,	4176.25,	4176.25,	675029
Apr 27 2021,	4181.50,	4191.75,	4166.75,	4179.00,	4179.00,	572040
Apr 26 2021,	4170.50,	4186.00,	4163.25,	4179.50,	4179.50,	557351
Apr 23 2021,	4129.75,	4186.75,	4127.50,	4171.50,	4171.50,	756478
Apr 22 2021,	4157.75,	4171.75,	4115.25,	4127.75,	4127.75,	1323732
Apr 21 2021,	4120.75,	4167.25,	4112.75,	4164.75,	4164.75,	849638
Apr 20 2021,	4156.50,	4167.50,	4110.50,	4126.50,	4126.50,	1144209
Apr 19 2021,	4165.50,	4174.75,	4142.00,	4155.50,	4155.50,	1024651
Apr 16 2021,	4162.50,	4183.50,	4154.25,	4176.25,	4176.25,	694848
Apr 15 2021,	4123.25,	4166.75,	4119.50,	4162.50,	4162.50,	656640
Apr 14 2021,	4134.50,	4143.75,	4113.00,	4118.00,	4118.00,	1026844
Apr 13 2021,	4122.50,	4139.75,	4101.25,	4132.75,	4132.75,	646010
Apr 12 2021,	4114.00,	4124.25,	4104.50,	4120.25,	4120.25,	665456
Apr 09 2021,	4098.00,	4121.50,	4081.00,	4119.50,	4119.50,	626181
Apr 08 2021,	4075.00,	4098.50,	4072.50,	4089.00,	4089.00,	591195
Apr 07 2021,	4067.00,	4075.75,	4056.50,	4070.00,	4070.00,	669472
Apr 06 2021,	4070.00,	4076.00,	4052.25,	4064.00,	4064.00,	732333
Apr 05 2021,	4028.50,	4073.75,	4021.00,	4067.75,	4067.75,	589360
Apr 01 2021,	3967.00,	4015.25,	3964.50,	4010.00,	4010.00,	673486
Mar 31 2021,	3949.50,	3983.75,	3941.50,	3967.50,	3967.50,	764414
Mar 30 2021,	3964.25,	3969.00,	3933.75,	3947.75,	3947.75,	1057421
Mar 29 2021,	3961.50,	3971.25,	3929.00,	3959.00,	3959.00,	1376697
Mar 26 2021,	3907.75,	3967.75,	3900.75,	3964.75,	3964.75,	1042676
Mar 25 2021,	3883.00,	3909.50,	3843.25,	3900.50,	3900.50,	1454050
Mar 24 2021,	3905.50,	3931.75,	3877.50,	3880.75,	3880.75,	1171625
Mar 23 2021,	3933.00,	3938.75,	3890.50,	3899.75,	3899.75,	1142576
Mar 22 2021,	3893.75,	3944.50,	3885.00,	3930.00,	3930.00,	756434
Mar 19 2021,	3921.25,	3934.50,	3906.75,	3912.62,	3912.62,	1073241
Mar 18 2021,	3971.75,	3988.50,	3907.50,	3916.50,	3916.50,	93285
Mar 17 2021,	3965.50,	3983.75,	3935.25,	3974.00,	3974.00,	118706
Mar 16 2021,	3966.25,	3980.25,	3952.75,	3962.50,	3962.50,	118247
Mar 15 2021,	3946.00,	3969.75,	3922.00,	3967.50,	3967.50,	149588
Mar 12 2021,	3937.25,	3947.75,	3910.00,	3942.25,	3942.25,	350592
Mar 11 2021,	3908.75,	3958.50,	3893.00,	3936.75,	3936.75,	731693
Mar 10 2021,	3877.00,	3916.25,	3856.75,	3896.50,	3896.50,	1131511
Mar 09 2021,	3831.50,	3901.25,	3826.25,	3873.25,	3873.25,	943071
Mar 08 2021,	3854.50,	3879.25,	3796.25,	3819.25,	3819.25,	1587819
Mar 05 2021,	3765.00,	3850.00,	3728.50,	3839.00,	3839.00,	2201668
Mar 04 2021,	3817.75,	3842.00,	3720.50,	3765.50,	3765.50,	2214003
Mar 03 2021,	3867.75,	3897.75,	3813.00,	3816.75,	3816.75,	1541944
Mar 02 2021,	3903.00,	3906.75,	3865.75,	3867.50,	3867.50,	1240740
