Date,Open,High,Low,Close,Adj_Close,Volume
Oct 05 2020,	11285.25,	11496.75,	11268.00,	11469.25,	11469.25,	635347
Oct 06 2020,	11475.00,	11524.25,	11197.50,	11273.75,	11273.75,	1003949
Oct 07 2020,	11217.25,	11507.50,	11208.50,	11470.00,	11470.00,	672177
Oct 08 2020,	11474.50,	11578.25,	11470.00,	11539.00,	11539.00,	588811
Oct 09 2020,	11561.00,	11740.00,	11553.00,	11724.75,	11724.75,	495693
Oct 12 2020,	11728.75,	12197.00,	11691.75,	12098.25,	12098.25,	915877
Oct 13 2020,	12098.75,	12249.00,	12018.00,	12094.00,	12094.00,	1029928
Oct 14 2020,	12080.00,	12177.75,	11901.75,	11974.25,	11974.25,	930587
Oct 15 2020,	11951.00,	11983.75,	11737.00,	11874.00,	11874.00,	917362
Oct 16 2020,	11891.25,	12021.75,	11792.25,	11798.00,	11798.00,	754824
Oct 19 2020,	11815.75,	11950.75,	11592.00,	11650.25,	11650.25,	906804
Oct 20 2020,	11697.75,	11792.00,	11598.75,	11660.75,	11660.75,	907890
Oct 21 2020,	11673.00,	11779.25,	11581.25,	11691.25,	11691.25,	929366
Oct 22 2020,	11686.25,	11723.75,	11511.00,	11649.75,	11649.75,	911764
Oct 23 2020,	11666.75,	11691.50,	11550.50,	11663.50,	11663.50,	729889
Oct 26 2020,	11650.25,	11695.75,	11343.25,	11492.25,	11492.25,	944202
Oct 27 2020,	11497.50,	11623.00,	11478.00,	11588.00,	11588.00,	794205
Oct 28 2020,	11560.75,	11566.50,	11124.00,	11132.75,	11132.75,	1055403
Oct 29 2020,	11181.75,	11457.75,	11145.00,	11342.75,	11342.75,	941469
Oct 30 2020,	11218.50,	11281.25,	10944.25,	11046.25,	11046.25,	1374709
Nov 02 2020,	11039.00,	11212.00,	10942.25,	11063.25,	11063.25,	1112623
Nov 03 2020,	11075.25,	11347.25,	11065.00,	11265.75,	11265.75,	914456
Nov 04 2020,	11256.50,	11845.25,	11230.00,	11763.00,	11763.00,	1346293
Nov 05 2020,	11817.75,	12118.50,	11771.25,	12076.50,	12076.50,	1087585
Nov 06 2020,	12087.75,	12109.00,	11869.50,	12075.00,	12075.00,	1277042
Nov 09 2020,	12134.75,	12408.00,	11812.75,	11820.50,	11820.50,	1592797
Nov 10 2020,	11863.25,	11901.25,	11503.00,	11618.25,	11618.25,	1852259
Nov 11 2020,	11634.75,	11919.50,	11575.00,	11886.00,	11886.00,	1115308
Nov 12 2020,	11899.75,	11975.00,	11775.75,	11820.00,	11820.00,	1082972
Nov 13 2020,	11861.25,	11952.75,	11801.75,	11933.50,	11933.50,	881222
Nov 16 2020,	11953.50,	12065.25,	11853.25,	12005.00,	12005.00,	892223
Nov 17 2020,	12060.25,	12093.00,	11954.25,	11975.00,	11975.00,	868762
Nov 18 2020,	11973.00,	12027.75,	11862.50,	11897.00,	11897.00,	915590
Nov 19 2020,	11876.75,	12000.00,	11804.50,	11987.25,	11987.25,	841570
Nov 20 2020,	11960.25,	12021.50,	11873.25,	11905.75,	11905.75,	727445
Nov 23 2020,	11907.75,	12001.75,	11808.25,	11905.25,	11905.25,	774828
Nov 24 2020,	11915.00,	12105.25,	11872.50,	12076.00,	12076.00,	679842
Nov 25 2020,	12099.00,	12177.75,	12078.50,	12152.25,	12152.25,	646303
Nov 30 2020,	12286.25,	12336.75,	12085.75,	12277.00,	12277.00,	930759
Dec 01 2020,	12327.50,	12512.50,	12312.00,	12452.25,	12452.25,	952086
Dec 02 2020,	12458.25,	12475.00,	12313.75,	12454.25,	12454.25,	855549
Dec 03 2020,	12471.75,	12540.25,	12443.50,	12462.25,	12462.25,	717437
Dec 04 2020,	12488.00,	12535.50,	12448.50,	12526.00,	12526.00,	595128
Dec 07 2020,	12523.75,	12612.25,	12475.00,	12596.00,	12596.00,	642497
Dec 08 2020,	12572.25,	12652.25,	12502.50,	12637.50,	12637.50,	716926
Dec 09 2020,	12657.50,	12674.75,	12306.50,	12367.00,	12367.00,	1247179
Dec 10 2020,	12344.00,	12449.00,	12218.00,	12402.00,	12402.00,	1056100
Dec 11 2020,	12393.75,	12414.50,	12234.25,	12368.00,	12368.00,	396055
Dec 14 2020,	12392.75,	12549.25,	12386.50,	12456.50,	12456.50,	238636
Dec 15 2020,	12463.00,	12605.25,	12417.00,	12591.75,	12591.75,	190391
Dec 16 2020,	12598.50,	12700.00,	12567.00,	12665.25,	12665.25,	112793
Dec 17 2020,	12676.75,	12766.50,	12667.50,	12751.00,	12751.00,	55549
Dec 18 2020,	12749.75,	12820.00,	12710.00,	12800.06,	12800.06,	750643
Dec 21 2020,	12756.00,	12783.50,	12461.00,	12683.50,	12683.50,	1061715
Dec 22 2020,	12697.50,	12760.00,	12593.75,	12710.00,	12710.00,	849302
Dec 23 2020,	12706.00,	12739.00,	12621.50,	12651.25,	12651.25,	596954
Dec 28 2020,	12677.00,	12855.75,	12651.75,	12832.75,	12832.75,	525846
Dec 29 2020,	12843.00,	12918.25,	12807.75,	12841.00,	12841.00,	674644
Dec 30 2020,	12860.00,	12909.75,	12820.50,	12841.50,	12841.50,	488570
Dec 31 2020,	12840.00,	12895.50,	12796.25,	12885.50,	12885.50,	376007
Jan 04 2021,	12888.25,	12960.00,	12522.00,	12685.50,	12685.50,	916861
Jan 05 2021,	12684.50,	12808.50,	12611.75,	12793.50,	12793.50,	790422
Jan 06 2021,	12801.25,	12844.50,	12491.25,	12616.75,	12616.75,	1326413
Jan 07 2021,	12659.25,	12958.75,	12646.25,	12928.00,	12928.00,	786257
Jan 08 2021,	12927.00,	13125.25,	12919.25,	13097.25,	13097.25,	954785
Jan 11 2021,	13098.75,	13105.50,	12872.00,	12897.00,	12897.00,	826314
Jan 12 2021,	12915.00,	12959.00,	12767.00,	12890.25,	12890.25,	688554
Jan 13 2021,	12885.75,	13003.00,	12820.50,	12972.25,	12972.25,	587442
Jan 14 2021,	12975.25,	13028.75,	12880.75,	12901.00,	12901.00,	625300
Jan 15 2021,	12908.00,	12930.75,	12743.25,	12802.25,	12802.25,	775481
Jan 19 2021,	12774.00,	13031.75,	12727.00,	12985.50,	12985.50,	858308
